order_id,customer_id,order_date,total_amount
1,140,2020-02-19,22.40969259441817
2,376,2023-02-27,388.1174297644826
3,351,2023-10-15,397.2363642239183
4,484,2020-03-19,364.6214455104706
5,22,2021-12-01,108.38962495130907
6,491,2021-02-19,371.49119844279136
7,18,2021-06-19,402.8326595578539
8,48,2023-03-20,273.61325177641254
9,259,2023-11-22,381.798911154235
10,361,2022-10-01,74.03404628593768
11,38,2020-01-25,292.30972270369404
12,259,2024-08-23,366.6425024948505
13,493,2018-07-11,282.1196896166687
14,217,2021-05-03,209.07475887230262
15,232,2022-03-09,342.40017164757745
16,197,2020-10-19,374.54595450338536
17,440,2023-11-20,70.86868885141166
18,360,2020-05-31,315.5235423572463
19,128,2020-10-16,389.99164539229315
20,301,2017-03-15,93.41605402710334
21,326,2021-04-21,420.56956625462306
22,246,2020-09-27,210.62012604829934
23,408,2024-04-10,232.05810649809354
24,16,2020-02-13,414.2829954674968
25,230,2021-10-06,166.1110135570861
26,195,2022-08-18,355.7778913511011
27,317,2021-11-19,270.554738280988
28,7,2019-03-21,403.6551694392309
29,408,2019-11-20,466.8928829047312
30,181,2018-12-06,399.2149404670701
31,140,2024-09-28,379.1312422386487
32,205,2018-05-16,232.75168459778394
33,228,2018-12-07,449.86679054898923
34,475,2019-06-21,258.1985690007243
35,277,2018-06-19,81.54741903661707
36,463,2017-07-16,281.038150092095
37,288,2024-01-02,193.29226743278133
38,189,2023-11-22,489.46421640057656
39,413,2020-04-03,207.91315516572791
40,324,2018-04-08,478.9192364985277
41,294,2021-03-01,72.30104638047642
42,144,2019-09-09,233.8746499095358
43,451,2022-08-17,305.99068272583065
44,233,2021-12-21,37.717019994330855
45,167,2023-09-18,252.26942609514222
46,459,2019-02-25,164.87945445103392
47,95,2018-11-30,64.39263801921363
48,473,2022-10-01,87.95595812949385
49,96,2022-04-23,450.89656730139876
50,209,2017-12-15,485.86449955225885
51,136,2022-10-02,195.29544455035546
52,474,2023-05-28,30.970580065545494
53,288,2023-12-24,230.45720071805778
54,490,2021-02-03,393.00483716165985
55,199,2023-11-30,118.12371737573456
56,442,2019-11-08,48.32548365595681
57,412,2021-06-02,296.43107886147493
58,450,2021-12-11,82.35858931474905
59,441,2019-03-15,491.6605924709747
60,11,2018-10-01,155.44812805449922
61,338,2024-01-31,282.0900525715901
62,13,2020-05-20,72.98053151993938
63,490,2021-06-24,373.6849809976498
64,363,2017-10-01,498.6489547738268
65,463,2017-04-17,262.0574032205304
66,89,2017-01-16,312.9589337853151
67,27,2023-08-10,446.5727505932567
68,252,2017-03-08,416.0276762090925
69,474,2021-03-19,40.51392960042902
70,262,2018-12-22,471.54748042404594
71,426,2024-04-29,327.72835540286036
72,483,2019-01-12,266.5572999085236
73,278,2020-09-08,184.31286819645794
74,292,2024-06-08,456.92267088809547
75,330,2023-04-28,286.22670659648094
76,293,2021-03-17,113.91186620182367
77,425,2024-07-20,213.58122442751758
78,410,2017-09-02,113.01050090383085
79,144,2024-01-16,463.32576681378833
80,482,2019-08-05,379.2990484156429
81,138,2021-04-05,144.1132968536145
82,255,2020-02-04,459.1301982796079
83,312,2021-11-29,188.21831759709804
84,259,2019-08-10,174.9476957674346
85,179,2020-04-23,415.2031179499578
86,111,2022-10-28,415.1360163212952
87,109,2024-01-13,227.28692515774196
88,390,2020-07-04,91.81579789046464
89,384,2020-03-19,433.7517044238457
90,217,2024-01-29,113.21879876655629
91,478,2023-06-20,38.73255294798328
92,267,2021-09-26,72.74460876182708
93,319,2021-11-10,484.5074178795893
94,289,2020-04-09,41.12859239999121
95,17,2019-05-26,52.264627857227296
96,400,2017-02-12,172.79607832283034
97,336,2021-06-08,44.23790262571124
98,348,2024-05-13,331.56811496410677
99,342,2021-07-12,317.7897448435713
100,116,2019-10-08,276.8973527795573
101,10,2024-09-08,348.99721715425926
102,343,2020-05-26,373.3860206968201
103,337,2022-07-09,105.709921360814
104,7,2017-11-27,185.32968338956942
105,205,2019-08-10,346.8585909509576
106,143,2024-05-28,346.2887672356366
107,171,2019-05-23,263.1359369397643
108,470,2024-06-22,407.3521527634829
109,1,2022-11-17,197.40287649249814
110,26,2021-04-25,32.08989116381227
111,172,2019-12-08,118.10355677915646
112,321,2020-03-24,207.3887793400365
113,58,2022-06-02,171.53995045595616
114,138,2017-01-30,338.65659980632336
115,232,2017-05-18,407.99782810776776
116,408,2022-11-28,215.41404656072066
117,317,2022-09-30,280.43835374457984
118,91,2021-01-10,92.17196683661945
119,234,2023-11-20,278.7618282601883
120,155,2020-04-16,401.70572337851905
121,291,2020-12-29,326.02208405500363
122,471,2022-05-18,36.48480842663691
123,462,2019-08-12,424.7607682437477
124,131,2020-01-19,196.31007767657442
125,143,2023-07-03,176.84024047574735
126,232,2018-08-10,190.90689848498678
127,124,2020-09-24,323.60421469025835
128,138,2022-01-18,90.47039442367458
129,313,2019-11-19,209.83856984803742
130,105,2021-04-14,266.10007715604183
131,264,2021-05-20,66.24475594930965
132,221,2019-03-01,390.93048066851844
133,147,2019-07-19,282.1410080250131
134,400,2018-06-01,384.56798151324426
135,436,2024-04-16,258.5990535583562
136,407,2023-07-18,380.8809015539284
137,64,2021-03-20,424.7594592209549
138,146,2024-03-29,282.93071342523365
139,476,2019-05-20,145.32866118184532
140,209,2019-07-16,287.94817981903515
141,95,2022-04-10,81.50183774312532
